Geography,year,Life Expectancy at Birth
Chad,2017,53.7
Comoros,2017,63.9
"Congo, Democratic Republic",2017,60.0
Congo-Brazzaville,2017,64.0
Côte d'Ivoire,2017,57.0
Djibouti,2017,65.9
Egypt,2017,71.7
Equatorial Guinea,2017,58.1
Eritrea,2017,65.5
Eswatini,2017,58.3
Ethiopia,2017,65.9
Gabon,2017,65.8
Gambia,2017,61.4
Ghana,2017,63.5
Guinea,2017,60.7
Guinea-Bissau,2017,57.7
Iran,2017,76.3
Iraq,2017,70.3
Israel,2017,82.6
Jordan,2017,74.3
Kenya,2017,65.9
Kuwait,2017,75.3
Lebanon,2017,78.8
Lesotho,2017,52.9
Liberia,2017,63.3
Libya,2017,72.5
Madagascar,2017,66.3
Malawi,2017,63.3
Mali,2017,58.5
Mauritania,2017,64.5
Mauritius,2017,74.7
Morocco,2017,76.2
Mozambique,2017,59.3
Namibia,2017,63.0
Niger,2017,61.6
Nigeria,2017,54.0
Oman,2017,77.4
Qatar,2017,80.0
Réunion,2017,80.1
Rwanda,2017,68.3
Sao Tomé e Príncipe,2017,69.9
Saudi Arabia,2017,74.9
Senegal,2017,67.4
Seychelles,2017,73.3
Sierra Leone,2017,53.9
Somalia,2017,56.7
South Africa,2017,63.5
South Sudan,2017,57.4
Sudan,2017,64.9
Syria,2017,71.0
Tanzania,2017,64.5
Togo,2017,60.5
Tunisia,2017,76.3
Uganda,2017,62.5
United Arab Emirates,2017,77.6
Yemen,2017,66.1
Zambia,2017,63.0
Zimbabwe,2017,60.8
North America,2017,78.9
Canada,2017,81.9
USA,2017,78.5
Western Europe,2017,81.5
Austria,2017,81.7
Belgium,2017,81.6
Cyprus,2017,82.2
Denmark,2017,81.1
Finland,2017,81.7
France,2017,82.7
Germany,2017,81.1
Greece,2017,81.4
Iceland,2017,82.6
Ireland,2017,82.2
Italy,2017,83.1
Liechtenstein,2017,83.7
Luxembourg,2017,82.1
Malta,2017,82.4
Netherlands,2017,81.8
Norway,2017,82.7
Portugal,2017,81.6
Spain,2017,83.4
Sweden,2017,82.5
Switzerland,2017,83.7
Turkey,2017,78.5
United Kingdom,2017,81.3
Asia Pacific,2018,73.1
Afghanistan,2018,64.5
Armenia,2018,75.9
Azerbaijan,2018,75.8
Bangladesh,2018,72.3
Bhutan,2018,71.5
Brunei Darussalam,2018,75.7
Cambodia,2018,69.6
China,2018,76.7
Fiji,2018,67.3
French Polynesia,2018,77.5
Guam,2018,79.9
"Hong Kong, China",2018,84.9
India,2018,69.4
Indonesia,2018,71.5
